Order Date,Order Id,SKU
2024-09-01 00:44:16,GS11469620/1,BM-AK-20221434
2024-09-01 00:44:16,GS11469620/2,BM-AK-20221436
2024-09-01 07:30:15,GS11469671/3,AB-SP-2021598
2024-09-01 07:30:15,GS11469671/1,HO-SU-0092-C1
2024-09-01 07:30:15,GS11469671/2,AB-SP-2021597
2024-09-01 07:52:46,GS11469680/2,SI-SE-10244
2024-09-01 07:52:46,GS11469680/1,TI-BB-11551
2024-09-01 09:18:07,GS11469718/1,DU-TN-20211707
2024-09-01 09:18:07,GS11469718/2,AT-TN-20220923
2024-09-01 10:32:37,GS11469766/2,DU-DA-20211794
2024-09-01 10:32:37,GS11469766/1,SI-SR-16536
2024-09-01 10:37:27,GS11469770/2,TI-CW-15767
2024-09-01 10:37:27,GS11469770/3,AB-PB-20211004
2024-09-01 10:37:27,GS11469770/1,PC-GTS-200268
2024-09-01 10:40:42,GS11469773/1,DU-DA-20211794
2024-09-01 10:40:42,GS11469773/2,TI-1E-20004
2024-09-01 10:54:55,GS11469780/1,TI-SP-19906
2024-09-01 10:54:55,GS11469780/2,TI-HD-19349
2024-09-01 11:06:03,GS11469786/2,DK-TA-1003
2024-09-01 11:06:03,GS11469786/4,PC-GTS-200268
2024-09-01 11:06:03,GS11469786/1,AB-SL-21626
2024-09-01 11:06:03,GS11469786/3,DK-TA-1004
2024-09-01 11:15:51,GS11469792/1,TI-MW-15527
2024-09-01 11:15:51,GS11469792/2,TI-HD-12292
2024-09-01 11:26:09,GS11469801/1,BS-KE-20221916
2024-09-01 11:26:09,GS11469801/2,TI-HD-18851
2024-09-01 11:59:31,GS11469822/2,TI-SA-19921
2024-09-01 11:59:31,GS11469822/1,SI-KB-17254
2024-09-01 12:29:40,GS11469837/2,SAC-BC-999
2024-09-01 12:29:40,GS11469837/1,SD-NP-20224388
2024-09-01 13:26:06,GS11469866/2,SH-HP-20232798
2024-09-01 13:26:06,GS11469866/1,DK-MS-2234
2024-09-01 14:45:19,GS11469905/1,SD-DK-7729
2024-09-01 14:45:19,GS11469905/3,SI-LT-16428
2024-09-01 14:45:19,GS11469905/2,SD-KT-20224449
2024-09-01 15:10:31,GS11469917/2,SAC-BC-999
2024-09-01 15:10:31,GS11469917/1,SAC-BC-1099
2024-09-01 15:27:22,GS11469923/2,AR-BCS-20211972
2024-09-01 15:27:22,GS11469923/1,AT-KE-20222186
2024-09-01 15:54:53,GS11469938/2,ST-AP-2021078-C1
2024-09-01 15:54:53,GS11469938/1,BM-VSP-20223971-C2
2024-09-01 15:54:53,GS11469938/3,SJ-IP-2021668-C1O3
2024-09-01 15:54:53,GS11469938/4,AT-SV-20230353-C1
2024-09-01 15:54:53,GS11469938/5,AT-SV-20230471
2024-09-01 15:54:53,GS11469938/6,BM-BA-20230967
2024-09-01 15:54:53,GS11469938/7,SD-GT-20223983
2024-09-01 16:11:26,GS11469943/1,SD-VTC-20232563
2024-09-01 16:11:26,GS11469943/2,AB-IG-2021575
2024-09-01 16:13:06,GS11469945/2,BM-KE-20222686
2024-09-01 16:13:06,GS11469945/1,SD-KE-20222635
2024-09-01 16:14:30,GS11469947/3,JS-DA-20211812
2024-09-01 16:14:30,GS11469947/1,DU-DA-20211794
2024-09-01 16:14:30,GS11469947/5,TI-HD-15913
2024-09-01 16:14:30,GS11469947/6,SI-FC-16537
2024-09-01 16:14:30,GS11469947/4,JS-DA-20211820
2024-09-01 16:14:30,GS11469947/2,DU-DA-20211745
2024-09-01 16:17:25,GS11469951/2,BM-SKI-20233865
2024-09-01 16:17:25,GS11469951/1,SD-VI-20231890
2024-09-01 17:22:50,GS11469992/1,RD-EX-20234353
2024-09-01 17:22:50,GS11469992/2,AM-MI-2021886
2024-09-01 17:41:14,GS11470007/2,DM-SV-20236332
2024-09-01 17:41:14,GS11470007/1,PD-DI-20221586-C1O1
2024-09-01 17:43:25,GS11470008/1,SH-EX-20230869
2024-09-01 17:43:25,GS11470008/2,RD-EX-20234353
2024-09-01 18:24:03,GS11470028/1,TI-SB-15229-C1
2024-09-01 18:24:03,GS11470028/2,TI-SB-15229-C1-C2
2024-09-01 19:19:25,GS11470059/1,BM-ST-20222927
2024-09-01 19:19:25,GS11470059/2,DK-IM-2247
2024-09-01 19:50:20,GS11470074/1,TI-WA-13234-C1
2024-09-01 19:50:20,GS11470074/2,AT-AK-20223653
2024-09-01 20:23:22,GS11470087/1,DK-KK-20004
2024-09-01 20:23:22,GS11470087/2,TI-Y2-15533
2024-09-01 21:27:24,GS11470124/2,SI-1C-14879
2024-09-01 21:27:24,GS11470124/1,TI-A1-17881
2024-09-01 21:43:55,GS11470139/2,BM-GNA-20224505
2024-09-01 21:43:55,GS11470139/1,TI-HD-12292
2024-09-01 22:02:36,GS11470147/1,AP-MP-20232828
2024-09-01 22:02:36,GS11470147/2,JS-HA-2021410
2024-09-01 23:56:07,GS11470192/3,TI-AF-11613
2024-09-01 23:56:07,GS11470192/4,JS-TE-20212627
2024-09-01 23:56:07,GS11470192/2,TI-MO-11240
2024-09-01 23:56:07,GS11470192/6,SI-EA-15117
2024-09-01 23:56:07,GS11470192/1,TI-SS-15786
2024-09-01 23:56:07,GS11470192/5,RD-AM-20224472
2024-09-02 00:21:26,GS11470196/1,SAC-K-1107
2024-09-02 00:21:26,GS11470196/2,CM-DV-21810
2024-09-02 05:34:21,GS11470223/1,SD-DAP-20230947
2024-09-02 05:34:21,GS11470223/2,SI-HT-20744
2024-09-02 07:51:08,GS11470249/1,SAC-HTP-005
2024-09-02 07:51:08,GS11470249/2,TI-S7-19358
2024-09-02 08:05:48,GS11470252/1,AG-GE-20236417
2024-09-02 08:05:48,GS11470252/2,TI-A1-19736
2024-09-02 09:16:13,GS11470281/1,RD-AA-20230940
2024-09-02 09:16:13,GS11470281/2,SD-ACK-20231259
2024-09-02 09:42:38,GS11470298/2,AM-IN-2021927
2024-09-02 09:42:38,GS11470298/1,AT-CS-20230111
2024-09-02 09:47:43,GS11470303/2,TI-HD-19097
2024-09-02 09:47:43,GS11470303/1,SD-SNE-20222579
2024-09-02 09:53:46,GS11470305/2,TI-TM-12985
2024-09-02 09:53:46,GS11470305/1,TI-GU-19995
2024-09-02 10:05:57,GS11470315/3,BM-FM-20232682
2024-09-02 10:05:57,GS11470315/1,TI-I2-17518
2024-09-02 10:05:57,GS11470315/2,AT-FM-20221587
2024-09-02 10:30:03,GS11470328/1,AP-FAI-20236693
2024-09-02 10:30:03,GS11470328/2,AP-FAI-20236691
2024-09-02 11:55:07,GS11470378/1,TI-1E-19977
2024-09-02 11:55:07,GS11470378/2,TI-1E-19974
2024-09-02 12:36:53,GS11470410/2,AT-KE-20222652
2024-09-02 12:36:53,GS11470410/1,DP-MJ-21076
2024-09-02 13:07:44,GS11470431/2,AP-IA-20232799
2024-09-02 13:07:44,GS11470431/1,AT-GT-20220911
2024-09-02 13:08:29,GS11470432/3,TI-IL-13401
2024-09-02 13:08:29,GS11470432/1,AM-IG-2021747
2024-09-02 13:08:29,GS11470432/2,BM-AK-20221434
2024-09-02 13:20:16,GS11470446/1,AB-IG-20224002
2024-09-02 13:20:16,GS11470446/2,TI-I5-17324
2024-09-02 14:35:11,GS11470499/1,SD-NE-20230304
2024-09-02 14:35:11,GS11470499/2,AB-IG-200492
2024-09-02 14:35:11,GS11470499/3,TI-I(-12221
2024-09-02 14:55:25,GS11470513/2,AG-GE-20236542
2024-09-02 14:55:25,GS11470513/3,TI-PQ-11274
2024-09-02 14:55:25,GS11470513/1,AG-GE-20236540
2024-09-02 15:43:36,GS11470547/3,TI-I1-15995
2024-09-02 15:43:36,GS11470547/2,SI-SC-14565
2024-09-02 15:43:36,GS11470547/1,TI-HD-18851
2024-09-02 16:31:45,GS11470569/1,TI-1K-13403
2024-09-02 16:31:45,GS11470569/2,SI-BS-10932
2024-09-02 17:31:08,GS11470606/2,AD-HT-20223643-C4
2024-09-02 17:31:08,GS11470606/1,TI-T5-16262
2024-09-02 17:34:19,GS11470610/6,SI-DS-13859
2024-09-02 17:34:19,GS11470610/5,SI-MM-10653
2024-09-02 17:34:19,GS11470610/2,AM-IN-2021927
2024-09-02 17:34:19,GS11470610/3,TI-CC-15572
2024-09-02 17:34:19,GS11470610/4,TI-MR-17547
2024-09-02 17:34:19,GS11470610/1,SI-CA-10659
2024-09-02 17:52:08,GS11470620/2,AB-GAHL-20230982
2024-09-02 17:52:08,GS11470620/1,DP-FTC-21008
2024-09-02 19:04:57,GS11470658/2,JS-MN-20211410
2024-09-02 19:04:57,GS11470658/1,SD-AV-20211115
2024-09-02 21:50:40,GS11470774/2,BS-KE-20221916
2024-09-02 21:50:40,GS11470774/1,AT-KE-20221937
2024-09-02 21:58:21,GS11470777/1,TI-HD-12318
2024-09-02 21:58:21,GS11470777/2,SD-DC-21218
2024-09-02 22:05:33,GS11470783/1,TI-7C-10855
2024-09-02 22:05:33,GS11470783/2,DC-RB-20220313-C2
2024-09-02 22:05:33,GS11470783/3,TI-1M-11549-C1
2024-09-02 22:06:24,GS11470784/2,TI-I4-13066
2024-09-02 22:06:24,GS11470784/1,TI-I1-13315
2024-09-02 22:23:26,GS11470793/3,AT-HT-20221527
2024-09-02 22:23:26,GS11470793/1,TI-FS-11980
2024-09-02 22:23:26,GS11470793/2,SK-AS-20232382
2024-09-03 00:10:04,GS11470829/2,BP-CH-008
2024-09-03 00:10:04,GS11470829/3,TI-IU-17359
2024-09-03 00:10:04,GS11470829/1,AB-KT-20223909
2024-09-03 00:14:37,GS11470830/2,AP-JA-20233333
2024-09-03 00:14:37,GS11470830/1,RON-UNI-200358
2024-09-03 01:24:58,GS11470835/2,TI-ZH-15968
2024-09-03 01:24:58,GS11470835/1,TI-PF-13267-C1
2024-09-03 06:16:55,GS11470855/1,AT-SV-20222495-C3
2024-09-03 06:16:55,GS11470855/2,AT-SV-20222495-C3-C1
2024-09-03 08:18:19,GS11470892/3,SJ-DI-20211631
2024-09-03 08:18:19,GS11470892/1,JS-AP-20211706
2024-09-03 08:18:19,GS11470892/2,PD-NE-20221525
2024-09-03 08:56:18,GS11470900/1,SD-VG-20230240
2024-09-03 08:56:18,GS11470900/3,AB-SL-21626
2024-09-03 08:56:18,GS11470900/2,BM-DGK-20232991
2024-09-03 09:32:17,GS11470914/2,SS-pt-Y-004
2024-09-03 09:32:17,GS11470914/1,TI-I2-17518
2024-09-03 09:34:16,GS11470917/1,DU-DA-20211795
2024-09-03 09:34:16,GS11470917/2,TI-BS-20172
2024-09-03 10:10:05,GS11470932/1,SR-EM-20235205
2024-09-03 10:10:05,GS11470932/2,TI-A0-18811
2024-09-03 10:22:45,GS11470939/1,BS-KE-20221914
2024-09-03 10:22:45,GS11470939/5,TI-HD-20216-C1
2024-09-03 10:22:45,GS11470939/2,SD-MP-21253-C1
2024-09-03 10:22:45,GS11470939/3,BS-KE-20221918
2024-09-03 10:22:45,GS11470939/4,JS-SC-20220058-C1
2024-09-03 11:23:51,GS11470967/1,AR-BCS-20211972
2024-09-03 11:23:51,GS11470967/2,BS-KE-20221919
2024-09-03 11:54:22,GS11470979/3,BM-VI-20232711
2024-09-03 11:54:22,GS11470979/2,SD-KE-20222654
2024-09-03 11:54:22,GS11470979/1,BM-KE-20222619
2024-09-03 11:54:22,GS11470979/4,BM-KE-20222623
2024-09-03 12:01:31,GS11470982/3,SD-KE-20222654
2024-09-03 12:01:31,GS11470982/2,BM-VI-20232711
2024-09-03 12:01:31,GS11470982/4,BM-KE-20222619
2024-09-03 12:01:31,GS11470982/1,BM-KE-20222623
2024-09-03 12:14:01,GS11470988/1,RON-PM-004
2024-09-03 12:14:01,GS11470988/2,TI-PQ-10736
2024-09-03 12:32:26,GS11471000/1,AB-DE-20231382
2024-09-03 12:32:26,GS11471000/5,SD-DC-21172
2024-09-03 12:32:26,GS11471000/3,TI-PQ-16240
2024-09-03 12:32:26,GS11471000/4,TI-X1-15935
2024-09-03 12:32:26,GS11471000/2,TI-YP-11357
2024-09-03 12:36:10,GS11471004/2,TI-S6-11748
2024-09-03 12:36:10,GS11471004/1,TI-PQ-12405
2024-09-03 13:16:11,GS11471027/1,SD-AGT-20223946
2024-09-03 13:16:11,GS11471027/2,TI-HG-21525
2024-09-03 13:21:35,GS11471030/1,SS-CH-4037
2024-09-03 13:21:35,GS11471030/2,AB-IG-2021585
2024-09-03 13:21:42,GS11471031/1,SI-CL-16885
2024-09-03 13:21:42,GS11471031/2,SI-SD-10528
2024-09-03 14:46:03,GS11471089/2,TI-HD-19279
2024-09-03 14:46:03,GS11471089/1,TI-IL-15459
2024-09-03 14:52:37,GS11471094/3,SD-RB-20224524
2024-09-03 14:52:37,GS11471094/1,BM-JA-20233468
2024-09-03 14:52:37,GS11471094/2,SJ-WG-20211265
2024-09-03 15:12:18,GS11471113/2,TI-Z2-19239
2024-09-03 15:12:18,GS11471113/1,TI-M2-17592
2024-09-03 15:20:05,GS11471117/3,TI-F5-20752
2024-09-03 15:20:05,GS11471117/2,TI-PQ-12655
2024-09-03 15:20:05,GS11471117/1,AB-SA-20223921
2024-09-03 15:48:58,GS11471126/1,AB-EL-20233462
2024-09-03 15:48:58,GS11471126/2,AB-EL-20233104
2024-09-03 15:48:58,GS11471126/3,AB-EL-20233688
2024-09-03 16:59:25,GS11471171/1,TI-HD-19069
2024-09-03 16:59:25,GS11471171/2,TI-HD-19526-C3
2024-09-03 17:06:53,GS11471177/1,TI-IC-18769
2024-09-03 17:06:53,GS11471177/2,TI-WL-17577
2024-09-03 18:03:48,GS11471207/1,SD-MP-21251-C1
2024-09-03 18:03:48,GS11471207/2,TI-PF-13267-C1
2024-09-03 19:02:09,GS11471223/2,AP-SM-20235846
2024-09-03 19:02:09,GS11471223/1,AT-GT-20220909
2024-09-03 19:06:47,GS11471226/2,DK-IM-2247
2024-09-03 19:06:47,GS11471226/1,BM-ST-20222927
2024-09-03 19:58:33,GS11471256/2,TI-HD-19089-C1
2024-09-03 19:58:33,GS11471256/3,SD-KE-20222684
2024-09-03 19:58:33,GS11471256/1,SD-MP-21260-C2
2024-09-03 21:44:47,GS11471318/2,TI-SP-18896
2024-09-03 21:44:47,GS11471318/1,TI-HD-18851
2024-09-03 21:48:52,GS11471320/1,AT-KE-20222652
2024-09-03 21:48:52,GS11471320/2,AT-KE-20222089
2024-09-03 22:07:17,GS11471331/2,SD-TN-20224537
2024-09-03 22:07:17,GS11471331/1,SD-TN-20224536
2024-09-03 22:08:38,GS11471332/1,AD-CL-20223580
2024-09-03 22:08:38,GS11471332/2,AB-SE-20231962
2024-09-04 00:39:26,GS11471380/2,TI-I1-17265
2024-09-04 00:39:26,GS11471380/1,SD-VTC-20232650
2024-09-04 06:59:31,GS11471417/2,TI-DI-12512
2024-09-04 06:59:31,GS11471417/1,TI-7U-13837-C1
2024-09-04 06:59:31,GS11471417/5,DK-UV-2133
2024-09-04 06:59:31,GS11471417/4,AD-HT-20223902-C2O1
2024-09-04 06:59:31,GS11471417/3,TI-3M-16722-C1
2024-09-04 07:58:06,GS11471438/1,SD-DGK-20232002-C2
2024-09-04 07:58:06,GS11471438/2,SD-DGK-20231970-C1
2024-09-04 08:29:19,GS11471453/1,SS-pt-Y-004
2024-09-04 08:29:19,GS11471453/2,SI-YC-20572
2024-09-04 08:35:04,GS11471455/1,SI-KS-14829
2024-09-04 08:35:04,GS11471455/2,DK-VC-2001
2024-09-04 09:39:11,GS11471482/1,JS-MN-20211410
2024-09-04 09:39:11,GS11471482/2,SJ-MD-2021757
2024-09-04 09:39:11,GS11471482/3,SD-PC-20223384
2024-09-04 09:46:00,GS11471487/2,SS-CH-4036
2024-09-04 09:46:00,GS11471487/1,SK-VRS-20232361
2024-09-04 10:23:24,GS11471508/1,IT-BB-0206
2024-09-04 10:23:24,GS11471508/2,NI-KO-2002
2024-09-04 10:26:33,GS11471509/2,SH-EX-20230869
2024-09-04 10:26:33,GS11471509/1,AB-IN-20211542-C1
2024-09-04 11:02:51,GS11471530/2,AB-IP-20223594-C1-C2
2024-09-04 11:02:51,GS11471530/1,AB-IP-20223594-C1
2024-09-04 11:21:51,GS11471542/1,AD-HT-20223933
2024-09-04 11:21:51,GS11471542/2,TP-BT-20230859
2024-09-04 12:39:35,GS11471593/2,ST-AP-2021078-C1
2024-09-04 12:39:35,GS11471593/1,AT-SV-20230688
2024-09-04 13:26:35,GS11471621/1,DU-DA-20211753
2024-09-04 13:26:35,GS11471621/3,JS-DA-20211834
2024-09-04 13:26:35,GS11471621/2,JS-DA-20211813
2024-09-04 13:26:55,GS11471622/2,SD-KG-21312
2024-09-04 13:26:55,GS11471622/1,RD-TT-20231225
2024-09-04 13:59:05,GS11471642/1,SD-CCSI-20232915-C3
2024-09-04 13:59:05,GS11471642/2,AB-SP-20231817
2024-09-04 14:08:18,GS11471647/1,AT-KE-20222678
2024-09-04 14:08:18,GS11471647/2,SD-KE-20222727
2024-09-04 14:41:21,GS11471659/1,SH-HP-20232798
2024-09-04 14:41:21,GS11471659/2,AB-PS-20211378
2024-09-04 15:06:53,GS11471670/2,AT-FM-20221587
2024-09-04 15:06:53,GS11471670/1,TI-PF-13267-C1
2024-09-04 15:43:46,GS11471687/2,SI-FF-16738
2024-09-04 15:43:46,GS11471687/1,SI-A6-10386
2024-09-04 15:47:29,GS11471690/1,SD-VTC-20232678
2024-09-04 15:47:29,GS11471690/2,DK-LN-20032
2024-09-04 17:13:39,GS11471743/3,JS-DA-20211837
2024-09-04 17:13:39,GS11471743/1,DU-DA-20211753
2024-09-04 17:13:39,GS11471743/2,DU-DA-20211800
